288, 50.622000
288, 54.041000
288, 49.021000
288, 107.886000
288, 85.391000
960, 219.288000
960, 153.165000
960, 152.497000
960, 155.350000
960, 161.749000
3456, 661.704000
3456, 693.863000
3456, 576.559000
3456, 584.757000
3456, 567.773000
13056, 2451.025000
13056, 2172.145000
13056, 2178.839000
13056, 2145.435000
13056, 2191.007000
50688, 9857.815000
50688, 8744.519000
50688, 8724.314000
50688, 9581.544000
50688, 9273.554000
199680, 40982.731000
199680, 45706.158000
199680, 44558.371000
199680, 44302.980000
199680, 45098.032000
